id,key,value,type
103239251,highway,traffic_signals,regular
103239383,highway,traffic_signals,regular
103241429,highway,motorway_junction,regular
103241429,ref,36B,regular
103242106,highway,motorway_junction,regular
103242106,ref,36B,regular
103242191,highway,traffic_signals,regular
103242231,highway,traffic_signals,regular
103242547,highway,motorway_junction,regular
103242547,noref,yes,regular
103243180,highway,traffic_signals,regular
103243790,highway,motorway_junction,regular
103243790,noref,yes,regular
103243865,highway,motorway_junction,regular
103243865,noref,yes,regular
103243961,highway,motorway_junction,regular
103243961,ref,4,regular
103244403,highway,traffic_signals,regular
103245713,highway,traffic_signals,regular
103245716,highway,traffic_signals,regular
103247121,highway,motorway_junction,regular
103249002,highway,motorway_junction,regular
103249002,noref,yes,regular
103250701,highway,traffic_signals,regular
103251308,highway,motorway_junction,regular
103251308,noref,yes,regular
103261435,highway,motorway_junction,regular
103261435,ref,4,regular
103263034,highway,motorway_junction,regular
103263034,noref,yes,regular
103263857,highway,motorway_junction,regular
103263857,noref,yes,regular
103266311,highway,traffic_signals,regular
103266312,highway,traffic_signals,regular
103268024,highway,motorway_junction,regular
103268024,noref,yes,regular
103271629,highway,traffic_signals,regular
103271910,highway,motorway_junction,regular
103271910,noref,yes,regular
103272064,highway,motorway_junction,regular
103272064,ref,36A,regular
103274143,highway,motorway_junction,regular
103274143,noref,yes,regular
103274416,highway,motorway_junction,regular
103274416,ref,36A,regular
103277066,highway,traffic_signals,regular
103279299,highway,traffic_signals,regular
103279323,highway,motorway_junction,regular
103279323,noref,yes,regular
103282225,highway,traffic_signals,regular
103282290,highway,traffic_signals,regular
103282885,highway,traffic_signals,regular
103283319,highway,turning_circle,regular
103285725,highway,traffic_signals,regular
103285990,highway,traffic_signals,regular
103285990,traffic_signals,signal,regular
103286002,highway,traffic_signals,regular
103286002,traffic_signals,signal,regular
103286003,highway,traffic_signals,regular
103286003,traffic_signals,signal,regular
103289274,highway,traffic_signals,regular
103293194,highway,traffic_signals,regular
103293200,railway,level_crossing,regular
103293283,highway,traffic_signals,regular
103293299,highway,traffic_signals,regular
103295158,railway,level_crossing,regular
103295261,railway,level_crossing,regular
103295282,railway,level_crossing,regular
103295538,railway,level_crossing,regular
103295540,railway,level_crossing,regular
103295577,railway,level_crossing,regular
103295578,name,Beverly-Edgewater Park,regular
103295578,railway,station,regular
103295578,wheelchair,yes,regular
103295578,wikidata,Q4899464,regular
103295585,railway,level_crossing,regular
103295729,name,Delanco,regular
103295729,operator,New Jersey Transit,regular
103295729,railway,station,regular
103295729,wheelchair,yes,regular
103295729,wikidata,Q5253121,regular
103295752,name,Riverside,regular
103295752,operator,septa,regular
103295752,railway,station,regular
103295752,wheelchair,yes,regular
103295752,wikidata,Q7338414,regular
103295755,highway,traffic_signals,regular
103295755,railway,level_crossing,regular
103295756,railway,level_crossing,regular
103295774,railway,level_crossing,regular
103295784,railway,level_crossing,regular
103295790,name,Palmyra,regular
103295790,operator,septa,regular
103295790,railway,station,regular
103295790,wheelchair,yes,regular
103295790,wikidata,Q7128454,regular
103295798,railway,level_crossing,regular
103303743,highway,turning_circle,regular
103311232,highway,traffic_signals,regular
103312333,railway,level_crossing,regular
103313831,highway,turning_circle,regular
103314000,highway,turning_circle,regular
103320472,highway,traffic_signals,regular
103320473,highway,traffic_signals,regular
103323368,highway,traffic_signals,regular
103324180,highway,turning_circle,regular
103324694,highway,traffic_signals,regular
103324897,highway,traffic_signals,regular
103325278,highway,motorway_junction,regular
103325278,ref,34B,regular
103325603,highway,traffic_signals,regular
103325885,highway,traffic_signals,regular
103326743,highway,motorway_junction,regular
103326743,noref,yes,regular
103326812,highway,motorway_junction,regular
103326832,highway,traffic_signals,regular
103326832,traffic_signals,signal,regular
103326970,highway,motorway_junction,regular
103326970,noref,yes,regular
103327006,highway,traffic_signals,regular
103327012,highway,traffic_signals,regular
103327018,highway,motorway_junction,regular
103327018,noref,yes,regular
103327111,railway,level_crossing,regular
103327207,light_rail,yes,regular
103327207,name,Entertainment Center,regular
103327207,network,NJ Transit,regular
103327207,operator,NJ Transit,regular
103327207,public_transport,stop_position,regular
103327207,wheelchair,yes,regular
103327317,highway,motorway_junction,regular
103327317,ref,3,regular
103327659,highway,motorway_junction,regular
103327659,noref,yes,regular
103327703,highway,motorway_junction,regular
103327703,noref,yes,regular
103327794,highway,motorway_junction,regular
103327794,ref,1A,regular
103327893,highway,motorway_junction,regular
103327947,highway,motorway_junction,regular
103327947,ref,34A,regular
103328729,railway,level_crossing,regular
103328860,highway,traffic_signals,regular
103328863,highway,traffic_signals,regular
103329447,highway,traffic_signals,regular
103329472,railway,level_crossing,regular
103329515,highway,traffic_signals,regular
103329517,highway,traffic_signals,regular
103329518,railway,level_crossing,regular
103330115,highway,motorway_junction,regular
103330268,highway,motorway_junction,regular
103330268,noref,yes,regular
103330408,highway,motorway_junction,regular
103330408,ref,1,regular
103330501,highway,motorway_junction,regular
103330501,ref,1C,regular
103330680,highway,motorway_junction,regular
103330680,noref,yes,regular
103331232,highway,motorway_junction,regular
103331232,noref,yes,regular
103331272,power,pole,regular
103331278,power,pole,regular
103331280,power,pole,regular
103331284,power,pole,regular
103331415,highway,traffic_signals,regular
103331516,highway,traffic_signals,regular
103331581,highway,motorway_junction,regular
103331581,noref,yes,regular
103332129,highway,motorway_junction,regular
103332129,noref,yes,regular
103332538,highway,motorway_junction,regular
103332538,noref,yes,regular
103332586,highway,traffic_signals,regular
103332599,highway,traffic_signals,regular
103332602,highway,traffic_signals,regular
103332730,railway,level_crossing,regular
103333106,highway,motorway_junction,regular
103333419,highway,motorway_junction,regular
103333419,ref,3,regular
103333440,highway,traffic_signals,regular
103333440,traffic_signals,signal,regular
103333580,highway,turning_circle,regular
103333631,highway,motorway_junction,regular
103333631,ref,32,regular
103333992,highway,motorway_junction,regular
103333992,noref,yes,regular
103333996,highway,traffic_signals,regular
103334115,highway,traffic_signals,regular
103334115,traffic_signals,signal,regular
103334146,highway,motorway_junction,regular
103334146,ref,4,regular
103334395,junction,roundabout,regular
103334564,highway,motorway_junction,regular
103334564,noref,yes,regular
103334887,highway,motorway_junction,regular
103334887,ref,31,regular
103335027,highway,traffic_signals,regular
103335029,highway,traffic_signals,regular
103335397,highway,motorway_junction,regular
103335397,noref,yes,regular
103335999,highway,traffic_signals,regular
103336063,highway,traffic_signals,regular
103336127,highway,traffic_signals,regular
103336133,highway,motorway_junction,regular
103336133,ref,5A,regular
103336536,railway,level_crossing,regular
103336538,railway,level_crossing,regular
103336903,highway,motorway_junction,regular
103336903,ref,2,regular
103337007,highway,motorway_junction,regular
103337007,old_ref,48,regular
103337007,ref,354,regular
103337615,highway,traffic_signals,regular
103337616,highway,traffic_signals,regular
103338015,highway,turning_circle,regular
103338134,highway,traffic_signals,regular
103338372,highway,traffic_signals,regular
103338390,highway,traffic_signals,regular
103338394,highway,traffic_signals,regular
103339724,highway,turning_circle,regular
103339769,highway,traffic_signals,regular
103340244,highway,traffic_signals,regular
103340764,highway,motorway_junction,regular
103341079,highway,traffic_signals,regular
103341968,highway,motorway_junction,regular
103341968,ref,4,regular
103342402,highway,traffic_signals,regular
103343567,highway,motorway_junction,regular
103343815,crossing,unmarked,regular
103343815,highway,crossing,regular
103343863,highway,traffic_signals,regular
103344270,highway,traffic_signals,regular
103344511,highway,motorway_junction,regular
103344511,ref,5A,regular
103344525,highway,traffic_signals,regular
103344538,highway,motorway_junction,regular
103344723,highway,motorway_junction,regular
103344723,noref,yes,regular
103345965,highway,motorway_junction,regular
103346474,highway,traffic_signals,regular
103346551,highway,motorway_junction,regular
103346551,ref,32,regular
103349217,highway,motorway_junction,regular
103349219,highway,motorway_junction,regular
103349219,ref,34A,regular
103350156,building,terrace,regular
103350660,highway,traffic_signals,regular
103350765,railway,level_crossing,regular
103350794,highway,traffic_signals,regular
103350820,highway,traffic_signals,regular
103350839,highway,traffic_signals,regular
103350845,highway,traffic_signals,regular
103350847,highway,traffic_signals,regular
103350893,highway,traffic_signals,regular
103350898,highway,traffic_signals,regular
103350947,railway,level_crossing,regular
103351607,highway,traffic_signals,regular
103351657,highway,traffic_signals,regular
103351657,traffic_signals,signal,regular
103351661,highway,traffic_signals,regular
103351682,highway,traffic_signals,regular
103351686,highway,traffic_signals,regular
103352731,highway,traffic_signals,regular
103352731,traffic_signals,signal,regular
103352731,direction,both,traffic_signals
103353228,highway,traffic_signals,regular
103353257,highway,traffic_signals,regular
103353258,highway,traffic_signals,regular
103353258,railway,level_crossing,regular
103353266,highway,traffic_signals,regular
103353266,traffic_signals,signal,regular
103353268,highway,traffic_signals,regular
103353268,traffic_signals,signal,regular
